Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2019/01/10,24,MD,24021,Frederick County,40278,219269,867962,195260,191561,99591,121948,125516,100912,26398,4266,1417,1093
County,2019/01/10,24,MD,24023,Garrett County,4225,24789,99605,16387,28020,12615,16173,16623,6992,1401,1241,77,76
County,2019/01/10,24,MD,24025,Harford County,37725,217716,923087,207335,214449,93978,134271,174203,76790,15517,3690,1023,1831
County,2019/01/10,24,MD,24029,Kent County,3252,16170,63230,14360,12145,6654,9270,12807,5848,1513,500,95,38
County,2019/01/10,24,MD,24031,Montgomery County,201513,849175,3755998,1087460,927662,432113,561136,542019,161225,20057,15066,3387,5873
County,2019/01/10,24,MD,24033,Prince George's County,155401,753926,3725095,1103266,920208,407726,563790,576764,121463,16203,10186,2303,3186
County,2019/01/10,24,MD,24035,Queen Anne's County,6801,43580,192645,37377,45014,23754,22105,36003,20316,6516,896,296,368
County,2019/01/10,24,MD,24037,St. Mary's County,16405,97105,400060,84753,102697,52224,60326,64378,23116,9363,1993,461,749
County,2019/01/10,24,MD,24039,Somerset County,4038,21578,99178,17200,22404,9595,13790,24881,8525,1727,847,167,42
County,2019/01/10,24,MD,24041,Talbot County,6596,30585,145151,38134,36695,19107,18828,21349,6190,4134,398,105,211
County,2019/01/10,24,MD,24043,Washington County,25919,125130,526958,112114,130199,71570,74831,67831,41280,21925,5916,907,385
County,2019/01/10,24,MD,24045,Wicomico County,18873,84736,390291,85923,104658,54759,55144,49425,31932,5758,2259,278,155
County,2019/01/10,24,MD,24047,Worcester County,8994,43282,185664,44077,50132,22139,27869,23081,13533,2559,1906,148,220
County,2019/01/10,24,MD,24510,Baltimore city,149456,444034,2043327,678687,486830,260500,323257,208980,54207,15465,10874,2003,2524
County,2019/01/11,24,MD,24001,Allegany County,13892,56524,248809,57868,71183,32053,39781,29953,9054,6075,2371,204,267
County,2019/01/11,24,MD,24003,Anne Arundel County,95086,484148,2066619,520003,479797,234917,314108,351195,124606,21935,11349,2459,6250
County,2019/01/11,24,MD,24005,Baltimore County,142987,684383,2887019,715454,657591,324469,482081,522412,121228,38984,16344,4104,4352
County,2019/01/11,24,MD,24009,Calvert County,13346,79179,328845,64201,84296,37319,44749,50057,36411,8964,1709,557,582
County,2019/01/11,24,MD,24011,Caroline County,4866,28540,132029,30848,28157,12679,17615,25332,11576,4595,1004,119,104
County,2019/01/11,24,MD,24013,Carroll County,22805,145642,589357,117457,140007,65111,78683,106705,65414,10500,3527,1050,903
County,2019/01/11,24,MD,24015,Cecil County,15681,87174,379227,72104,76407,45344,65171,80180,27219,8277,3490,650,385
County,2019/01/11,24,MD,24017,Charles County,22634,140623,591490,117903,140525,61018,77240,118564,63090,9055,2569,824,702
County,2019/01/11,24,MD,24019,Dorchester County,4886,27043,134794,30140,38747,12611,10686,27326,10642,3607,863,98,74
County,2019/01/11,24,MD,24021,Frederick County,38783,220764,912838,211513,206059,103992,126778,130369,99966,26762,4865,1370,1164
County,2019/01/11,24,MD,24023,Garrett County,3965,25049,103154,16208,27412,12482,18868,17601,7452,1433,1535,96,67
County,2019/01/11,24,MD,24025,Harford County,37056,218385,924635,200824,212883,98736,139195,176039,73516,15932,4677,983,1850
County,2019/01/11,24,MD,24027,Howard County,51822,273868,1090117,251883,244729,128611,182881,202005,61468,9602,4885,1328,2725
County,2019/01/11,24,MD,24029,Kent County,3251,16171,68046,15327,13406,7231,10198,13526,6267,1483,490,80,38
County,2019/01/11,24,MD,24031,Montgomery County,196812,853876,3861968,1092282,969292,448272,576555,565032,162168,21566,16763,4171,5867
County,2019/01/11,24,MD,24033,Prince George's County,151248,758079,3856641,1113175,957331,428069,596352,598001,130095,17437,10729,2468,2984
County,2019/01/11,24,MD,24035,Queen Anne's County,6553,43828,188959,35882,43900,21379,23493,36584,19730,6143,1064,350,434
County,2019/01/11,24,MD,24037,St. Mary's County,15614,97896,414964,88804,100599,53481,66903,66969,25005,9585,2120,579,919
County,2019/01/11,24,MD,24039,Somerset County,3983,21633,104155,17557,24688,9517,14596,25761,9228,1522,955,293,38
County,2019/01/11,24,MD,24041,Talbot County,6592,30589,140081,32781,35810,18187,19564,23124,5833,3960,557,100,165
County,2019/01/11,24,MD,24043,Washington County,25546,125503,540612,119708,128243,73261,80557,71451,38954,21924,5156,996,362
County,2019/01/11,24,MD,24045,Wicomico County,17830,85779,394171,86655,99607,56082,58827,53607,30564,5908,2476,285,160
County,2019/01/11,24,MD,24047,Worcester County,8984,43292,189954,43339,49237,20525,32636,25262,13671,2691,2143,254,196
County,2019/01/11,24,MD,24510,Baltimore city,144882,448608,2060763,660936,498912,267922,327076,215277,58158,16661,11481,2017,2323
County,2019/01/12,24,MD,24510,Baltimore city,156292,437198,1987734,644427,491552,259209,311801,195466,52588,17050,11271,2230,2140
County,2019/01/12,24,MD,24047,Worcester County,9096,43180,190915,46035,52909,22381,32276,20394,11276,3237,1990,206,211
County,2019/01/12,24,MD,24045,Wicomico County,19047,84562,397466,88318,101680,56099,63869,49519,29374,5798,2366,245,198
County,2019/01/12,24,MD,24043,Washington County,26988,124061,543457,124665,135458,73290,81337,71048,32086,19288,5158,876,251
County,2019/01/12,24,MD,24041,Talbot County,6379,30802,146159,36368,38569,18117,18296,22813,6797,4342,477,278,102
County,2019/01/12,24,MD,24039,Somerset County,4061,21555,109419,21846,25107,10862,17604,23162,7928,1734,942,196,38
County,2019/01/12,24,MD,24037,St. Mary's County,16395,97115,406320,82680,107102,54349,67831,61717,19780,9058,2119,694,990
County,2019/01/12,24,MD,24035,Queen Anne's County,6644,43737,191524,36368,47318,23443,22823,35693,18226,5989,977,240,447
County,2019/01/12,24,MD,24033,Prince George's County,167949,741378,3657776,1053725,933479,420399,559439,538597,118723,17389,11115,2327,2583
County,2019/01/12,24,MD,24031,Montgomery County,211605,839083,3800670,1094969,995957,451260,554409,494884,156806,24695,17130,4304,6256
County,2019/01/12,24,MD,24029,Kent County,3285,16137,64214,13039,13529,7317,9129,13154,5837,1622,464,66,57
County,2019/01/12,24,MD,24027,Howard County,54234,271456,1090789,256713,267769,134478,171071,186806,54871,10117,5204,1123,2637
County,2019/01/12,24,MD,24025,Harford County,38686,216755,946996,215912,234155,108519,146474,158633,61543,14503,4844,942,1471
County,2019/01/12,24,MD,24023,Garrett County,4095,24919,111944,17219,33105,15143,19210,15570,8242,1755,1536,98,66
County,2019/01/12,24,MD,24021,Frederick County,41176,218371,919455,224038,222902,113718,132246,120147,74177,25508,4590,1165,964
County,2019/01/12,24,MD,24019,Dorchester County,5049,26880,134654,30306,40473,12935,12118,25638,8704,3178,1022,158,122
County,2019/01/12,24,MD,24017,Charles County,24800,138457,579662,121694,150048,63269,75935,102423,52603,9509,2826,738,617
County,2019/01/12,24,MD,24015,Cecil County,16617,86238,375131,74763,81409,47726,67132,69009,22759,8140,3056,716,421
County,2019/01/12,24,MD,24013,Carroll County,23974,144473,614305,135538,163249,68245,75915,104871,51338,9655,3267,996,1231
County,2019/01/12,24,MD,24011,Caroline County,5016,28390,138385,33088,31447,13823,17256,26842,9951,4958,867,79,74
County,2019/01/12,24,MD,24009,Calvert County,14836,77689,337094,66919,90171,39551,48978,48252,31271,8791,2204,510,447
County,2019/01/12,24,MD,24005,Baltimore County,152387,674983,2878634,739225,703799,342713,464840,463990,106805,34883,15207,3590,3582
County,2019/01/12,24,MD,24003,Anne Arundel County,99729,479505,2031157,511137,498788,240979,326097,305487,104457,24330,11836,2637,5409
County,2019/01/12,24,MD,24001,Allegany County,14312,56104,239927,57342,68342,31810,42833,26578,6198,4198,2147,197,282
County,2019/01/13,24,MD,24001,Allegany County,15130,55286,228206,54449,66336,25327,45812,24066,5348,4604,1893,186,185
County,2019/01/13,24,MD,24003,Anne Arundel County,118033,461201,1770496,503365,473485,209500,249328,209934,85282,19661,11328,2206,6407
County,2019/01/13,24,MD,24005,Baltimore County,176882,650488,2541340,707738,700636,302204,382524,313353,80933,31359,15091,3407,4095
County,2019/01/13,24,MD,24009,Calvert County,17225,75300,288931,63141,79979,28035,38385,43497,26104,7466,1414,443,467
County,2019/01/13,24,MD,24011,Caroline County,5757,27649,126172,29771,33437,16056,15517,20210,6712,3498,760,131,80
County,2019/01/13,24,MD,24013,Carroll County,28586,139861,554516,122934,160699,53865,69744,93570,39361,8957,3428,1093,865
County,2019/01/13,24,MD,24015,Cecil County,17924,84931,336934,74692,87320,43160,59049,46868,14096,7274,3278,836,361
County,2019/01/13,24,MD,24017,Charles County,30046,133211,492498,111475,140861,53132,61767,68972,44972,7992,2237,607,483
County,2019/01/13,24,MD,24019,Dorchester County,5723,26206,114281,26980,32900,12095,15146,16838,6880,2481,735,131,95
County,2019/01/13,24,MD,24021,Frederick County,47053,212494,859613,226190,229538,108780,122524,95879,49008,20471,5004,1400,819
County,2019/01/13,24,MD,24023,Garrett County,4233,24781,99893,14989,29422,12509,18631,16352,4772,1499,1529,108,82
County,2019/01/13,24,MD,24025,Harford County,45243,210198,818805,200547,219474,99197,126061,109292,43973,13371,4205,992,1693
County,2019/01/13,24,MD,24027,Howard County,64091,261599,952252,243941,262409,120407,129692,134207,43225,8167,6353,1186,2665
County,2019/01/13,24,MD,24029,Kent County,3741,15681,57880,13249,14188,6491,7274,9526,5561,1078,409,53,51
County,2019/01/13,24,MD,24031,Montgomery County,249842,800846,3124226,952743,872460,373552,409235,335081,131496,22509,14913,4627,7610
County,2019/01/13,24,MD,24033,Prince George's County,206577,702750,2930087,885665,785880,329667,411815,380379,101174,18674,11311,2595,2927
County,2019/01/13,24,MD,24035,Queen Anne's County,8004,42377,167515,35516,45416,20756,20143,28058,10745,4916,1072,450,443
County,2019/01/13,24,MD,24037,St. Mary's County,19260,94250,371277,90205,100999,43372,60120,50978,14286,7388,1682,823,1424
County,2019/01/13,24,MD,24039,Somerset County,4640,20976,84173,17804,24681,8557,10677,15291,4521,1744,755,109,34
County,2019/01/13,24,MD,24041,Talbot County,7776,29405,116947,32052,36412,15583,10151,13174,5296,3620,440,60,159
County,2019/01/13,24,MD,24043,Washington County,30347,120702,491002,125292,130588,66269,75558,53874,20741,13652,3891,798,339
County,2019/01/13,24,MD,24045,Wicomico County,21173,82436,366573,98127,101381,50082,57514,36223,15406,4884,2552,257,147
County,2019/01/13,24,MD,24047,Worcester County,10385,41891,168000,47713,47059,19886,25587,15992,7303,2010,1999,237,214
County,2019/01/13,24,MD,24510,Baltimore city,175913,417577,1708946,577524,460176,220282,228441,135088,53093,17605,12594,1886,2257
County,2019/01/14,24,MD,24001,Allegany County,14271,56145,237613,53278,67608,30632,43966,26860,7350,5396,2055,195,273
County,2019/01/14,24,MD,24003,Anne Arundel County,105904,473330,1921343,486578,463352,226312,300958,302567,103083,20541,9055,2089,6808
County,2019/01/14,24,MD,24005,Baltimore County,156741,670629,2766270,719887,662558,317573,447939,462080,104462,32118,12700,3263,3690
County,2019/01/14,24,MD,24009,Calvert County,15997,76528,287549,53745,70649,29566,40594,51901,31070,7907,1328,326,463
County,2019/01/14,24,MD,24011,Caroline County,5265,28141,127486,26990,29061,15311,15883,24803,9726,4626,877,88,121
County,2019/01/14,24,MD,24013,Carroll County,25812,142635,553714,110049,146887,56337,68634,100675,56824,8990,3060,1066,1192
County,2019/01/14,24,MD,24015,Cecil County,16419,86436,358100,70310,79408,40702,59959,69788,24694,8787,3221,838,393
County,2019/01/14,24,MD,24017,Charles County,27314,135943,518972,110869,137847,55886,67684,84516,50694,8320,2070,578,508
County,2019/01/14,24,MD,24019,Dorchester County,5120,26809,121371,28681,33212,11530,12926,20792,9411,3814,778,149,78
County,2019/01/14,24,MD,24021,Frederick County,43868,215679,867665,207495,209826,103469,127101,113145,75267,24915,4250,1287,910
County,2019/01/14,24,MD,24023,Garrett County,4043,24971,102205,16350,26227,11977,20621,17531,6431,1725,1120,116,107
County,2019/01/14,24,MD,24025,Harford County,40101,215340,883397,194682,210253,93902,132597,163534,67111,14788,4010,953,1567
County,2019/01/14,24,MD,24027,Howard County,59022,266668,996401,237067,248369,123818,147948,171917,50426,8405,5089,1016,2346
County,2019/01/14,24,MD,24029,Kent County,3536,15886,65940,13895,14840,8460,8459,12128,6037,1526,455,100,40
County,2019/01/14,24,MD,24031,Montgomery County,228508,822180,3387875,992652,892311,404552,489454,422359,141079,20370,12512,4731,7855
County,2019/01/14,24,MD,24033,Prince George's County,185001,724326,3290631,1010467,825816,358124,487452,469408,108002,17002,9254,2303,2803
County,2019/01/14,24,MD,24035,Queen Anne's County,7118,43263,177468,31876,42363,18272,22243,36021,18662,6171,921,506,433
County,2019/01/14,24,MD,24037,St. Mary's County,18479,95031,369528,74405,97065,42921,63852,60287,20268,7107,1609,618,1396
County,2019/01/14,24,MD,24039,Somerset County,4500,21116,91296,17603,22045,7774,11804,22004,6676,2209,1049,113,19
County,2019/01/14,24,MD,24041,Talbot County,7275,29906,132855,30481,39450,16268,16892,19430,6079,3703,238,170,144
County,2019/01/14,24,MD,24043,Washington County,27928,123121,522547,120638,133878,70530,78720,62123,34871,16963,3858,672,294
County,2019/01/14,24,MD,24045,Wicomico County,19899,83710,385285,91753,101865,56645,60611,42191,23847,5382,2489,278,224
County,2019/01/14,24,MD,24047,Worcester County,9965,42311,177451,46893,49049,19910,25671,20706,10853,1741,2165,257,206
County,2019/01/14,24,MD,24510,Baltimore city,157633,435857,1965151,673161,484575,243117,286071,195045,52032,16422,10448,1991,2289
County,2019/01/15,24,MD,24510,Baltimore city,151323,442167,1993013,662412,493495,249075,299092,202062,56482,15825,10306,1873,2391
County,2019/01/15,24,MD,24047,Worcester County,9422,42854,188934,45270,53347,20232,29691,22262,13543,2461,1772,155,201
County,2019/01/15,24,MD,24045,Wicomico County,18778,84831,401437,97717,105744,54292,57931,50526,27017,5219,2402,350,239
County,2019/01/15,24,MD,24043,Washington County,27630,123419,539874,122050,133147,70548,80365,66530,41326,20268,4457,847,336
County,2019/01/15,24,MD,24041,Talbot County,6968,30213,141273,31949,39181,18545,19533,21623,6218,3572,323,168,161
County,2019/01/15,24,MD,24039,Somerset County,4188,21428,99710,20104,24986,9259,14006,21634,7225,1446,961,55,34
County,2019/01/15,24,MD,24037,St. Mary's County,16664,96846,401424,83822,99228,49585,68484,64044,22907,9988,1740,530,1096
County,2019/01/15,24,MD,24035,Queen Anne's County,6809,43572,195228,39612,46494,21538,23113,36761,19879,6021,878,544,388
County,2019/01/15,24,MD,24033,Prince George's County,162084,747243,3630357,1095476,879345,389432,554368,556433,124549,16696,9295,2063,2700
County,2019/01/15,24,MD,24031,Montgomery County,207504,843184,3733964,1094823,936356,423212,548410,531132,157881,19397,11933,3905,6915
County,2019/01/15,24,MD,24029,Kent County,3431,15991,67910,16328,14283,7599,8699,12664,6065,1772,389,74,37
County,2019/01/15,24,MD,24027,Howard County,54786,270904,1046218,244921,238249,120271,167340,200073,58520,7744,5152,1167,2781
County,2019/01/15,24,MD,24025,Harford County,39366,216075,895288,201752,205064,92997,131576,169264,74043,14454,3867,832,1439
County,2019/01/15,24,MD,24023,Garrett County,4254,24760,98501,14646,28867,10557,17462,15895,7764,1872,1296,74,68
County,2019/01/15,24,MD,24021,Frederick County,42005,217542,902400,214528,212899,97978,114742,131137,98224,26335,3921,1576,1060
County,2019/01/15,24,MD,24019,Dorchester County,5295,26634,127240,29044,35289,12819,12888,22560,10011,3521,822,158,128
County,2019/01/15,24,MD,24017,Charles County,24108,139149,562540,117552,133667,58855,71628,107786,62057,7830,2095,511,559
County,2019/01/15,24,MD,24015,Cecil County,16267,86588,363221,72473,80921,40853,63586,67323,24988,8563,3388,699,427
County,2019/01/15,24,MD,24013,Carroll County,25070,143377,557665,107849,143451,53300,73189,101422,63798,9940,2525,1195,996
County,2019/01/15,24,MD,24011,Caroline County,5202,28204,128602,25907,26684,15757,16890,26473,11405,4584,698,143,61
County,2019/01/15,24,MD,24009,Calvert County,14430,78095,310585,57112,76854,31589,47213,49824,36571,9027,1417,320,658
County,2019/01/15,24,MD,24005,Baltimore County,151775,675595,2850790,740661,659874,313629,464536,500953,117325,32839,12698,3973,4302
County,2019/01/15,24,MD,24003,Anne Arundel County,99502,479732,2026178,522940,463600,224091,310215,346109,119394,22799,8920,1907,6203
County,2019/01/15,24,MD,24001,Allegany County,14445,55971,234711,52957,66044,30081,41046,28276,7664,5937,2261,233,212
County,2019/01/16,24,MD,24011,Caroline County,5081,28325,131233,27364,28922,13812,17118,26216,12141,4446,922,208,84
County,2019/01/16,24,MD,24013,Carroll County,24874,143573,551057,106892,134131,54217,71853,103586,65790,10029,2638,1044,877
County,2019/01/16,24,MD,24009,Calvert County,14483,78042,308480,53459,80915,33261,43763,48415,36973,9192,1519,365,618
County,2019/01/16,24,MD,24005,Baltimore County,150843,676527,2875504,710889,647914,311018,483451,539225,126472,33540,14214,3907,4874
County,2019/01/16,24,MD,24003,Anne Arundel County,99800,479434,1987083,482785,458312,222228,309404,348088,123978,23307,9680,2633,6668
